ds_x,Quarter,year,5 year bond yields,Core inflation,"Lime, Cement, & Fabricated Construction Materials Excl Glass & Clay Materials",Clay Construction Materials & Refractory Construction Materials,GDPm (Current Prices),Personal Income m,GDP per capita,Unemployment Rate,Median Household Inc,ResidentPopulation,ResidentPopulation_Growth_Rate
2026-10-01,Q4 2026,2026,2.2548080291872554,111.49919763786872,149.6182696470656,147.12020914963816,181477.262177127,85460.52605345252,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-11-01,Q4 2026,2026,2.2331852948529765,111.51793040517934,150.49970499836942,147.23413169084435,181477.262177127,85460.52605345252,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-12-01,Q4 2026,2026,2.2309730179040628,111.7543609486101,150.633814575578,147.50162243232998,181477.262177127,85460.52605345252,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2027-01-01,Q1 2027,2027,2.2187250282766096,112.03265729700976,150.43523989044255,148.07012113620272,180743.74584713875,85973.05248807043,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-02-01,Q1 2027,2027,2.210859181270793,112.20446423181824,151.4285804096696,148.4472559605218,180743.74584713875,85973.05248807043,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-03-01,Q1 2027,2027,2.2943802858254303,112.11433636368979,151.80236802453845,149.2552229863582,180743.74584713875,85973.05248807043,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-04-01,Q2 2027,2027,2.184332842889735,112.326127282309,150.82609445413874,149.2793634047397,184064.96168231464,87130.65999079673,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-05-01,Q2 2027,2027,2.197739369592639,112.31152889270665,152.5018609621457,150.01859761700504,184064.96168231464,87130.65999079673,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-06-01,Q2 2027,2027,2.2199447271085027,112.33009999564221,152.81602740580365,150.37681682010827,184064.96168231464,87130.65999079673,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-07-01,Q3 2027,2027,2.2533876433341664,112.69677975359183,153.1212587560851,150.8435136915405,186222.8068384699,87799.33671824698,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-08-01,Q3 2027,2027,2.34081536827183,112.8353755994613,153.72898677708326,151.4588834845515,186222.8068384699,87799.33671824698,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-09-01,Q3 2027,2027,2.36006626736908,112.91493997091501,154.20343391855954,151.93337006591744,186222.8068384699,87799.33671824698,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-10-01,Q4 2027,2027,2.3424139746851425,113.08745920754197,154.27153384458987,152.2207273631767,188774.5281694688,88611.52013972795,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-11-01,Q4 2027,2027,2.303039344068698,113.0069910894632,154.94748808937902,152.11252125440663,188774.5281694688,88611.52013972795,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2027-12-01,Q4 2027,2027,2.304826214093558,113.31167127613485,154.797419441531,152.31026222026674,188774.5281694688,88611.52013972795,101922.08255073804,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2028-01-01,Q1 2028,2028,2.2646755929387554,113.64179921427869,155.07206057165138,153.143485237662,187509.36439182344,88912.66970875395,102443.97965392454,2.56160505162194,10229.16903965726,4237087.43444254,0.49926579671000226
2028-02-01,Q1 2028,2028,2.2512249529035877,113.83394394316431,156.42655936837355,153.43240799468558,187509.36439182344,88912.66970875395,102443.97965392454,2.56160505162194,10229.16903965726,4237087.43444254,0.49926579671000226
